Step;Has Improved;Current fitness;Current improvement;Best Solution;Best Fitness;Best Improvement;Current Temperature
0;0;311424;0;{5,9,12,11,8,10,3,1,4,6,2,7};311424;0;1000000
1;1;316470;-1,6203;{10,9,12,11,8,4,5,1,3,6,2,7};296968;4,6419;990000
2;1;321594;-1,6191;{10,9,12,11,8,4,5,1,3,6,2,7};296968;0;980100
3;1;328204;-2,0554;{10,12,1,2,4,6,7,3,8,9,5,11};280758;5,4585;970299
4;-1;325134;0,9354;{10,12,1,2,4,6,7,3,8,9,5,11};280758;0;960596,01
5;1;327724;-0,7966;{10,12,1,2,4,6,7,3,8,9,5,11};280758;0;950990,0499
6;-1;317600;3,0892;{10,12,1,2,4,6,7,3,8,9,5,11};280758;0;941480,149401
7;-1;306154;3,6039;{10,12,1,2,4,6,7,3,8,9,5,11};280758;0;932065,34790699
8;1;311820;-1,8507;{10,12,1,2,4,6,7,3,8,9,5,11};280758;0;922744,69442792
9;1;334762;-7,3574;{10,12,1,2,4,6,7,3,8,9,5,11};280758;0;913517,247483641
10;-1;328970;1,7302;{10,12,1,2,4,6,7,3,8,9,5,11};280758;0;904382,075008804
11;-1;319058;3,013;{10,12,1,2,4,6,7,3,8,9,5,11};280758;0;895338,254258716
12;-1;291776;8,5508;{10,12,1,2,4,6,7,3,8,9,5,11};280758;0;886384,871716129
13;1;336748;-15,4132;{11,12,8,1,6,5,7,2,3,10,9,4};277248;1,2502;877521,022998968
14;-1;322618;4,196;{11,12,8,1,6,5,7,2,3,10,9,4};277248;0;868745,812768978
15;-1;314602;2,4847;{11,12,8,1,6,5,7,2,3,10,9,4};277248;0;860058,354641288
16;-1;312150;0,7794;{11,12,8,1,6,5,7,2,3,10,9,4};277248;0;851457,771094875
17;-1;293764;5,8901;{11,12,8,1,6,5,7,2,3,10,9,4};277248;0;842943,193383927
18;1;313118;-6,5883;{11,12,8,1,6,5,7,2,3,10,9,4};277248;0;834513,761450087
19;-1;312860;0,0824;{11,12,8,1,6,5,7,2,3,10,9,4};277248;0;826168,623835587
20;1;314006;-0,3663;{11,12,8,1,6,5,7,2,3,10,9,4};277248;0;817906,937597231
21;-1;303404;3,3764;{11,12,8,1,6,5,7,2,3,10,9,4};277248;0;809727,868221259
22;1;318644;-5,023;{11,12,8,1,6,5,7,2,3,10,9,4};277248;0;801630,589539046
23;-1;290384;8,8688;{11,12,8,1,6,5,7,2,3,10,9,4};277248;0;793614,283643655
24;1;354192;-21,9737;{11,12,8,1,6,5,7,2,3,10,9,4};277248;0;785678,140807219
25;-1;330480;6,6947;{11,12,8,1,6,5,7,2,3,10,9,4};277248;0;777821,359399147
26;-1;311768;5,6621;{11,12,8,1,6,5,7,2,3,10,9,4};277248;0;770043,145805155
27;-1;303404;2,6828;{11,12,8,1,6,5,7,2,3,10,9,4};277248;0;762342,714347104
28;1;309984;-2,1687;{11,12,8,1,6,5,7,2,3,10,9,4};277248;0;754719,287203633
29;1;325994;-5,1648;{11,12,8,1,6,5,7,2,3,10,9,4};277248;0;747172,094331596
30;1;341994;-4,9081;{11,12,8,1,6,5,7,2,3,10,9,4};277248;0;739700,37338828
31;-1;296778;13,2213;{11,12,8,1,6,5,7,2,3,10,9,4};277248;0;732303,369654397
32;1;316030;-6,487;{11,12,8,1,6,5,7,2,3,10,9,4};277248;0;724980,335957853
33;-1;296280;6,2494;{11,12,8,1,6,5,7,2,3,10,9,4};277248;0;717730,532598275
34;1;316934;-6,9711;{11,12,8,1,6,5,7,2,3,10,9,4};277248;0;710553,227272292
35;-1;313554;1,0665;{11,12,8,1,6,5,7,2,3,10,9,4};277248;0;703447,694999569
